student_id,all_clicks,active_days,access_frequency,material_clicks,avg_quiz_score,quiz_attempts,avg_assignment_score,assignment_submissions,final_grade,risk_cluster,total_time_spent
6516,2791,159,17.553459119496857,174.0,0.0,0.0,61.8,5.0,65,0,5582
8462,646,56,11.535714285714286,93.0,0.0,0.0,87.0,7.0,30,0,1292
8462,646,56,11.535714285714286,93.0,0.0,0.0,87.0,7.0,30,0,1292
11391,934,40,23.35,18.0,0.0,0.0,82.0,5.0,65,0,1868
23629,161,16,10.0625,2.0,100.0,2.0,65.0,2.0,40,0,322
23698,910,70,13.0,48.0,75.0,4.0,72.5,4.0,65,0,1820
23798,590,77,7.662337662337662,77.0,100.0,5.0,88.83333333333333,6.0,85,0,1180
24213,554,28,19.785714285714285,17.0,0.0,0.0,79.33333333333333,6.0,30,0,1108
24213,554,28,19.785714285714285,17.0,0.0,0.0,79.33333333333333,6.0,65,0,1108
24734,499,56,8.910714285714286,14.0,0.0,0.0,46.8,5.0,65,0,998
25107,2562,115,22.278260869565216,37.0,100.0,5.0,58.5,6.0,65,0,5124
25261,997,39,25.564102564102566,39.0,78.0,1.0,0.0,0.0,30,0,1994
25629,16,3,5.333333333333333,0.0,0.0,0.0,0.0,0.0,30,0,32
25629,16,3,5.333333333333333,0.0,0.0,0.0,0.0,0.0,30,0,32
25997,13,1,13.0,0.0,100.0,1.0,73.0,1.0,30,0,26
26192,2223,118,18.838983050847457,170.0,0.0,0.0,86.2,5.0,85,0,4446
26315,2451,91,26.934065934065934,102.0,0.0,0.0,51.4,5.0,65,0,4902
26734,210,29,7.241379310344827,32.0,0.0,0.0,74.33333333333333,3.0,40,0,420
27116,1847,126,14.658730158730158,112.0,95.75,4.0,90.25,4.0,85,0,3694
27417,410,30,13.666666666666666,52.0,0.0,0.0,50.625,8.0,30,0,820
27417,410,30,13.666666666666666,52.0,0.0,0.0,50.625,8.0,30,0,820
27759,366,46,7.956521739130435,34.0,96.0,5.0,59.5,6.0,40,0,732
27891,348,23,15.130434782608695,14.0,73.33333333333333,6.0,65.0,6.0,30,0,696
27891,348,23,15.130434782608695,14.0,73.33333333333333,6.0,65.0,6.0,40,0,696
27935,813,54,15.055555555555555,74.0,0.0,0.0,75.25,4.0,40,0,1626
28046,661,51,12.96078431372549,47.0,0.0,0.0,51.0,6.0,40,0,1322
28061,1590,148,10.743243243243244,139.0,0.0,0.0,77.6,5.0,65,0,3180
28400,1435,80,17.9375,60.0,0.0,0.0,66.4,5.0,65,0,2870
28418,328,22,14.909090909090908,45.0,31.5,2.0,0.0,0.0,40,0,656
28787,645,59,10.932203389830509,32.0,56.0,4.0,0.0,0.0,65,0,1290
28952,105,12,8.75,5.0,67.0,1.0,52.0,1.0,30,0,210
29144,1914,123,15.560975609756097,397.0,85.0,4.0,63.8,5.0,40,0,3828
29411,1170,91,12.857142857142858,124.0,0.0,1.0,67.28571428571429,7.0,30,0,2340
29411,1170,91,12.857142857142858,124.0,0.0,1.0,67.28571428571429,7.0,65,0,2340
29420,816,49,16.653061224489797,65.0,85.0,4.0,66.66666666666667,3.0,65,0,1632
29639,6986,245,28.514285714285716,107.0,79.25,4.0,87.25,8.0,65,0,13972
29639,6986,245,28.514285714285716,107.0,79.25,4.0,87.25,8.0,65,0,13972
29764,2867,89,32.21348314606742,107.0,86.25,4.0,91.25,4.0,85,0,5734
29820,1027,71,14.464788732394366,164.0,71.75,4.0,85.625,8.0,65,0,2054
29820,1027,71,14.464788732394366,164.0,71.75,4.0,85.625,8.0,65,0,2054
30091,1332,64,20.8125,101.0,100.0,5.0,76.0,5.0,65,0,2664
30096,714,54,13.222222222222221,86.0,98.0,4.0,88.5,4.0,85,0,1428
30268,281,12,23.416666666666668,8.0,0.0,0.0,0.0,0.0,30,0,562
30549,137,21,6.523809523809524,3.0,0.0,0.0,35.0,1.0,40,0,274
30850,2258,130,17.369230769230768,49.0,99.0,4.0,99.5,4.0,85,0,4516
31014,531,47,11.297872340425531,12.0,100.0,2.0,83.33333333333333,3.0,30,0,1062
31161,2932,185,15.848648648648648,186.0,97.25,4.0,95.75,4.0,85,0,5864
31173,858,57,15.052631578947368,46.0,0.0,0.0,54.0,6.0,40,0,1716
31269,614,30,20.466666666666665,63.0,0.0,0.0,56.0,2.0,30,0,1228
31269,614,30,20.466666666666665,63.0,0.0,0.0,56.0,2.0,30,0,1228
31600,429,19,22.57894736842105,5.0,0.0,0.0,54.8,5.0,65,0,858
31604,2158,123,17.54471544715447,109.0,0.0,0.0,76.0,5.0,65,0,4316
31663,5906,222,26.603603603603602,286.0,96.0,5.0,65.33333333333333,6.0,65,0,11812
31849,1179,80,14.7375,32.0,88.0,5.0,69.66666666666667,6.0,65,0,2358
32327,699,30,23.3,22.0,0.0,0.0,31.0,2.0,30,0,1398
32885,1034,70,14.771428571428572,59.0,0.0,0.0,54.4,5.0,65,0,2068
32930,438,13,33.69230769230769,23.0,0.0,0.0,45.0,5.0,65,0,876
33387,248,22,11.272727272727273,18.0,0.0,0.0,59.0,3.0,30,0,496
33387,248,22,11.272727272727273,18.0,0.0,0.0,59.0,3.0,40,0,496
33666,1208,66,18.303030303030305,16.0,100.0,1.0,68.0,2.0,30,0,2416
33681,434,24,18.083333333333332,55.0,0.0,0.0,76.14285714285714,7.0,30,0,868
33681,434,24,18.083333333333332,55.0,0.0,0.0,76.14285714285714,7.0,40,0,868
33897,322,5,64.4,19.0,0.0,0.0,54.5,4.0,30,0,644
33897,322,5,64.4,19.0,0.0,0.0,54.5,4.0,30,0,644
33930,544,72,7.555555555555555,29.0,0.0,0.0,84.2,5.0,65,0,1088
34068,613,55,11.145454545454545,11.0,67.0,2.0,86.0,1.0,30,0,1226
34087,294,36,8.166666666666666,25.0,0.0,0.0,84.42857142857143,7.0,30,0,588
34087,294,36,8.166666666666666,25.0,0.0,0.0,84.42857142857143,7.0,40,0,588
34229,706,50,14.12,65.0,100.0,4.0,78.4,5.0,65,0,1412
34353,391,32,12.21875,10.0,100.0,5.0,81.2,5.0,40,0,782
34431,192,13,14.76923076923077,10.0,80.0,1.0,0.0,0.0,30,0,384
34431,192,13,14.76923076923077,10.0,80.0,1.0,0.0,0.0,30,0,384
34653,213,20,10.65,21.0,0.0,0.0,49.0,3.0,40,0,426
34662,218,26,8.384615384615385,22.0,0.0,0.0,34.5,2.0,30,0,436
34756,129,11,11.727272727272727,13.0,80.0,1.0,61.0,2.0,30,0,258
34863,198,19,10.421052631578947,14.0,88.0,5.0,62.166666666666664,6.0,65,0,396
35355,1116,64,17.4375,12.0,69.66666666666667,3.0,78.0,6.0,30,0,2232
35355,1116,64,17.4375,12.0,69.66666666666667,3.0,78.0,6.0,65,0,2232
35502,545,32,17.03125,78.0,0.0,0.0,66.0,1.0,30,0,1090
35508,1142,69,16.55072463768116,93.0,81.75,4.0,93.5,4.0,65,0,2284
35508,1142,69,16.55072463768116,93.0,81.75,4.0,93.5,4.0,85,0,2284
35812,19,3,6.333333333333333,3.0,0.0,0.0,71.0,1.0,40,0,38
37622,470,39,12.051282051282051,40.0,100.0,4.0,69.83333333333333,6.0,65,0,940
37652,885,54,16.38888888888889,86.0,97.5,4.0,0.0,0.0,85,0,1770
38053,2445,143,17.097902097902097,56.0,0.0,0.0,68.0,5.0,65,0,4890
38234,94,9,10.444444444444445,5.0,86.66666666666667,3.0,71.0,4.0,40,0,188
38711,169,14,12.071428571428571,11.0,0.0,0.0,38.75,4.0,30,0,338
39208,2067,160,12.91875,79.0,0.0,0.0,77.4,5.0,65,0,4134
39208,2067,160,12.91875,79.0,0.0,0.0,77.4,5.0,30,0,4134
39411,164,15,10.933333333333334,2.0,0.0,0.0,70.0,1.0,40,0,328
39427,93,14,6.642857142857143,8.0,0.0,0.0,84.0,1.0,30,0,186
39655,432,34,12.705882352941176,29.0,84.0,5.0,82.33333333333333,6.0,85,0,864
39660,336,34,9.882352941176471,19.0,0.0,0.0,64.5,4.0,40,0,672
40184,1876,149,12.590604026845638,113.0,0.0,0.0,92.66666666666667,6.0,85,0,3752
40333,174,15,11.6,31.0,0.0,0.0,0.0,0.0,30,0,348
40419,704,40,17.6,61.0,67.0,1.0,72.57142857142857,7.0,30,0,1408
40419,704,40,17.6,61.0,67.0,1.0,72.57142857142857,7.0,65,0,1408
40563,584,60,9.733333333333333,42.0,0.0,0.0,74.83333333333333,6.0,65,0,1168
40604,465,53,8.773584905660377,35.0,80.0,2.0,63.0,4.0,65,0,930
41060,411,34,12.088235294117647,30.0,85.0,6.0,80.2,5.0,40,0,822
41547,1007,61,16.508196721311474,31.0,0.0,0.0,61.6,5.0,65,0,2014
42638,5659,193,29.321243523316063,284.0,62.75,4.0,80.0,8.0,65,0,11318
42638,5659,193,29.321243523316063,284.0,62.75,4.0,80.0,8.0,65,0,11318
42746,2403,142,16.922535211267604,102.0,94.27272727272727,11.0,94.33333333333333,9.0,85,0,4806
42746,2403,142,16.922535211267604,102.0,94.27272727272727,11.0,94.33333333333333,9.0,85,0,4806
42818,200,20,10.0,9.0,0.0,0.0,39.0,1.0,40,0,400
43284,847,96,8.822916666666666,79.0,74.2,5.0,68.0,4.0,30,0,1694
45462,1492,90,16.57777777777778,32.0,0.0,0.0,68.0,5.0,65,0,2984
45642,1428,105,13.6,72.0,0.0,0.0,72.4,5.0,65,0,2856
45664,1445,90,16.055555555555557,237.0,49.625,8.0,55.42857142857143,7.0,30,0,2890
45664,1445,90,16.055555555555557,237.0,49.625,8.0,55.42857142857143,7.0,65,0,2890
46605,3427,208,16.47596153846154,72.0,91.75,4.0,94.25,4.0,85,0,6854
46705,1149,73,15.73972602739726,145.0,87.75,4.0,78.33333333333333,3.0,40,0,2298
46753,887,35,25.34285714285714,118.0,0.0,0.0,63.0,5.0,65,0,1774
46844,340,46,7.391304347826087,32.0,0.0,0.0,64.8,5.0,65,0,680
47063,137,29,4.724137931034483,11.0,0.0,0.0,49.25,4.0,30,0,274
47855,12,6,2.0,2.0,48.0,5.0,44.166666666666664,6.0,30,0,24
47891,118,14,8.428571428571429,12.0,0.0,0.0,65.66666666666667,3.0,40,0,236
48040,1829,158,11.575949367088608,357.0,96.0,5.0,61.666666666666664,6.0,65,0,3658
48152,528,40,13.2,49.0,0.0,0.0,53.2,5.0,65,0,1056
48503,434,39,11.128205128205128,18.0,80.0,5.0,73.6,5.0,65,0,868
48635,592,21,28.19047619047619,25.0,88.75,8.0,82.8,5.0,30,0,1184
48635,592,21,28.19047619047619,25.0,88.75,8.0,82.8,5.0,65,0,1184
49119,2154,109,19.761467889908257,133.0,79.0,4.0,86.33333333333333,6.0,85,0,4308
49119,2154,109,19.761467889908257,133.0,79.0,4.0,86.33333333333333,6.0,30,0,4308
50069,531,28,18.964285714285715,92.0,93.33333333333333,3.0,76.33333333333333,3.0,40,0,1062
50263,425,31,13.709677419354838,33.0,73.875,8.0,80.33333333333333,6.0,30,0,850
50263,425,31,13.709677419354838,33.0,73.875,8.0,80.33333333333333,6.0,65,0,850
50476,237,10,23.7,19.0,0.0,0.0,87.8,5.0,85,0,474
50610,13,4,3.25,0.0,0.0,0.0,87.33333333333333,3.0,40,0,26
50993,176,23,7.6521739130434785,11.0,65.0,4.0,31.2,5.0,40,0,352
51030,183,9,20.333333333333332,18.0,0.0,0.0,81.8,5.0,65,0,366
51163,1167,79,14.772151898734178,129.0,0.0,0.0,68.66666666666667,6.0,65,0,2334
51301,670,48,13.958333333333334,39.0,0.0,0.0,93.0,1.0,30,0,1340
51576,799,35,22.82857142857143,44.0,87.88888888888889,9.0,86.0,7.0,30,0,1598
