student_id,course_id,activity_id,event_type,time_spent_sec,timestamp
S001,C02,C02_A9,submit,182,2025-12-27
S001,C02,C02_A1,attempt,876,2025-09-20
S001,C02,C02_A10,view,91,2025-09-23
S001,C02,C02_A2,attempt,639,2025-12-06
S001,C02,C02_A2,submit,325,2025-10-28
S001,C02,C02_A9,view,509,2025-11-29
S001,C02,C02_A1,attempt,746,2025-10-23
S001,C02,C02_A5,attempt,542,2025-11-10
S001,C02,C02_A3,attempt,478,2025-09-12
S001,C02,C02_A5,submit,70,2025-12-24
S001,C02,C02_A6,attempt,782,2025-10-13
S001,C02,C02_A2,submit,286,2025-09-05
S001,C02,C02_A4,view,264,2025-11-27
S001,C02,C02_A3,submit,631,2025-09-04
S001,C02,C02_A8,submit,871,2025-10-06
S001,C02,C02_A7,submit,71,2025-12-08
S001,C02,C02_A5,view,511,2025-11-07
S001,C02,C02_A2,submit,482,2025-12-28
S001,C02,C02_A9,attempt,215,2025-11-15
S001,C02,C02_A1,attempt,680,2025-12-15
S001,C02,C02_A2,attempt,123,2025-11-01
S001,C02,C02_A8,attempt,448,2025-10-14
S001,C02,C02_A6,attempt,716,2025-09-15
S001,C02,C02_A7,view,367,2025-10-24
S001,C02,C02_A10,submit,537,2025-10-08
S001,C02,C02_A4,submit,440,2025-12-15
S001,C02,C02_A8,submit,67,2025-10-30
S001,C02,C02_A7,view,352,2025-10-04
S001,C02,C02_A5,attempt,148,2025-12-09
S001,C02,C02_A6,attempt,556,2025-12-16
S001,C02,C02_A7,view,703,2025-12-22
S001,C02,C02_A9,submit,503,2025-10-24
S001,C02,C02_A8,view,222,2025-11-07
S001,C02,C02_A5,attempt,667,2025-12-07
S001,C02,C02_A5,attempt,670,2025-10-28
S001,C02,C02_A10,view,238,2025-10-06
S001,C02,C02_A2,submit,164,2025-12-29
S001,C02,C02_A9,attempt,478,2025-12-23
S001,C02,C02_A4,submit,526,2025-09-17
S001,C02,C02_A9,view,675,2025-11-18
S001,C02,C02_A3,view,756,2025-09-22
S001,C02,C02_A6,attempt,594,2025-09-03
S001,C02,C02_A6,submit,447,2025-09-13
S001,C02,C02_A1,view,891,2025-12-27
S001,C02,C02_A9,view,502,2025-09-17
S001,C02,C02_A10,submit,882,2025-09-21
S001,C02,C02_A6,attempt,763,2025-10-09
S001,C02,C02_A2,submit,752,2025-10-06
S001,C02,C02_A5,attempt,884,2025-11-02
S001,C02,C02_A9,attempt,279,2025-10-30
S001,C02,C02_A6,submit,178,2025-10-21
S001,C02,C02_A1,view,643,2025-11-06
S001,C02,C02_A9,submit,169,2025-12-21
S001,C02,C02_A3,view,312,2025-12-09
S001,C02,C02_A8,attempt,378,2025-12-30
S001,C02,C02_A10,submit,303,2025-12-16
S001,C02,C02_A4,view,319,2025-12-03
S001,C02,C02_A8,attempt,887,2025-11-16
S001,C02,C02_A3,submit,705,2025-11-03
S001,C02,C02_A1,view,487,2025-11-09
S001,C02,C02_A6,attempt,383,2025-10-14
S001,C02,C02_A9,submit,811,2025-11-10
S001,C02,C02_A6,attempt,496,2025-12-30
S001,C02,C02_A7,attempt,223,2025-11-30
S001,C02,C02_A8,view,615,2025-10-21
S001,C02,C02_A3,view,824,2025-10-24
S001,C02,C02_A5,view,355,2025-12-06
S001,C02,C02_A2,attempt,752,2025-12-27
S001,C02,C02_A4,attempt,425,2025-11-25
S001,C02,C02_A2,submit,185,2025-11-04
S001,C02,C02_A5,view,159,2025-11-05
S001,C02,C02_A9,submit,369,2025-12-22
S001,C02,C02_A3,view,895,2025-10-28
S001,C02,C02_A4,view,568,2025-12-27
S001,C02,C02_A3,attempt,45,2025-12-03
S001,C02,C02_A9,view,449,2025-12-22
S001,C02,C02_A10,submit,188,2025-09-11
S001,C02,C02_A1,attempt,830,2025-10-05
S001,C02,C02_A7,attempt,668,2025-11-29
S001,C02,C02_A6,attempt,695,2025-09-12
S001,C02,C02_A7,attempt,720,2025-12-20
S001,C02,C02_A2,submit,419,2025-10-12
S001,C02,C02_A10,submit,765,2025-12-24
S001,C02,C02_A9,attempt,584,2025-09-06
S001,C02,C02_A1,submit,100,2025-10-02
S001,C02,C02_A6,submit,730,2025-12-28
S001,C02,C02_A2,attempt,262,2025-12-06
S001,C02,C02_A9,view,474,2025-09-14
S001,C02,C02_A4,submit,750,2025-12-22
S001,C02,C02_A8,view,484,2025-09-23
S001,C02,C02_A2,submit,336,2025-12-26
S001,C02,C02_A4,view,77,2025-10-13
S001,C02,C02_A2,view,330,2025-10-17
S001,C02,C02_A8,attempt,471,2025-09-20
S001,C02,C02_A8,view,573,2025-10-24
S001,C02,C02_A3,submit,728,2025-12-12
S001,C02,C02_A1,view,204,2025-09-24
S001,C02,C02_A5,view,654,2025-12-22
S001,C02,C02_A9,attempt,664,2025-11-28
S001,C02,C02_A3,view,539,2025-12-27
S001,C02,C02_A2,submit,176,2025-10-01
S001,C02,C02_A8,attempt,683,2025-10-04
S001,C02,C02_A4,attempt,291,2025-11-26
S001,C02,C02_A8,view,853,2025-10-31
S001,C02,C02_A4,attempt,723,2025-11-10
S001,C02,C02_A2,view,105,2025-10-28
S001,C02,C02_A10,attempt,631,2025-10-10
S001,C02,C02_A4,submit,464,2025-11-29
S001,C02,C02_A7,attempt,497,2025-12-19
S001,C02,C02_A8,attempt,233,2025-10-21
S001,C02,C02_A6,attempt,139,2025-10-02
S001,C02,C02_A5,attempt,615,2025-10-17
S001,C02,C02_A9,submit,332,2025-11-30
S001,C02,C02_A3,attempt,52,2025-12-17
S001,C02,C02_A10,submit,435,2025-10-07
S001,C02,C02_A1,view,609,2025-12-21
S001,C02,C02_A4,submit,826,2025-12-06
S001,C02,C02_A1,view,650,2025-12-06
S001,C02,C02_A3,attempt,882,2025-12-26
S001,C02,C02_A10,attempt,824,2025-12-13
S001,C01,C01_A9,submit,851,2025-10-17
S001,C01,C01_A4,view,681,2025-09-26
S001,C01,C01_A9,submit,286,2025-11-27
S001,C01,C01_A2,submit,815,2025-11-25
S001,C01,C01_A1,submit,888,2025-09-19
S001,C01,C01_A6,submit,129,2025-12-26
S001,C01,C01_A2,submit,691,2025-09-07
S001,C01,C01_A10,attempt,837,2025-10-28
S001,C01,C01_A9,view,623,2025-10-18
S001,C01,C01_A2,submit,164,2025-09-13
S001,C01,C01_A9,attempt,364,2025-12-06
S001,C01,C01_A7,attempt,209,2025-09-27
S001,C01,C01_A5,view,835,2025-11-10
S001,C01,C01_A5,attempt,573,2025-11-05
S001,C01,C01_A5,attempt,880,2025-09-23
S001,C01,C01_A10,attempt,874,2025-11-02
S001,C01,C01_A4,attempt,794,2025-12-22
S001,C01,C01_A7,attempt,853,2025-09-16
S001,C01,C01_A9,attempt,107,2025-09-20
S001,C01,C01_A10,view,722,2025-12-03
S001,C01,C01_A4,submit,436,2025-12-19
S001,C01,C01_A2,submit,404,2025-09-13
S001,C01,C01_A3,attempt,44,2025-10-05
S001,C01,C01_A8,submit,156,2025-10-30
S001,C01,C01_A2,attempt,718,2025-12-06
S001,C01,C01_A7,submit,298,2025-11-15
S001,C01,C01_A4,attempt,872,2025-11-22
S001,C01,C01_A1,attempt,140,2025-11-27
S001,C01,C01_A6,view,512,2025-09-05
S001,C01,C01_A6,submit,604,2025-10-13
S001,C01,C01_A7,submit,256,2025-11-23
S001,C01,C01_A10,view,680,2025-12-16
S001,C01,C01_A8,attempt,747,2025-10-10
S001,C01,C01_A6,submit,448,2025-09-16
S001,C01,C01_A9,view,76,2025-09-06
S001,C01,C01_A1,attempt,534,2025-09-16
S001,C01,C01_A4,view,270,2025-12-24
S001,C01,C01_A3,submit,168,2025-10-21
S001,C01,C01_A6,attempt,409,2025-11-26
S001,C01,C01_A10,submit,743,2025-11-10
S001,C01,C01_A4,attempt,631,2025-12-06
S001,C01,C01_A10,submit,188,2025-12-24
S001,C01,C01_A3,attempt,700,2025-09-14
S001,C01,C01_A8,attempt,660,2025-10-24
S001,C01,C01_A10,attempt,63,2025-11-29
S001,C01,C01_A9,attempt,252,2025-10-28
S001,C01,C01_A8,attempt,271,2025-12-20
S001,C01,C01_A10,attempt,131,2025-11-28
S001,C01,C01_A4,attempt,587,2025-12-26
S001,C01,C01_A9,submit,397,2025-09-09
S001,C01,C01_A2,attempt,312,2025-09-26
S001,C01,C01_A3,view,898,2025-12-16
S001,C01,C01_A4,attempt,123,2025-11-25
S001,C01,C01_A4,view,687,2025-11-22
S001,C01,C01_A1,submit,51,2025-09-08
S001,C01,C01_A8,attempt,279,2025-09-18
S001,C01,C01_A8,submit,240,2025-09-10
S001,C01,C01_A3,submit,242,2025-11-16
S001,C01,C01_A4,view,862,2025-12-22
S001,C01,C01_A3,view,366,2025-12-10
S001,C01,C01_A10,view,837,2025-12-26
S001,C01,C01_A9,submit,32,2025-10-07
S001,C01,C01_A7,view,163,2025-11-10
S001,C01,C01_A6,attempt,847,2025-09-24
S001,C01,C01_A10,view,706,2025-12-21
S001,C01,C01_A5,view,164,2025-09-03
S001,C01,C01_A8,attempt,838,2025-12-11
S001,C01,C01_A7,view,632,2025-10-13
S001,C01,C01_A5,view,208,2025-10-05
S001,C01,C01_A5,view,159,2025-12-05
S001,C01,C01_A10,attempt,568,2025-09-16
S001,C01,C01_A10,submit,95,2025-11-01
S001,C01,C01_A7,attempt,826,2025-10-18
S001,C01,C01_A9,submit,637,2025-09-15
S001,C01,C01_A3,attempt,545,2025-09-30
S001,C01,C01_A6,submit,74,2025-12-04
S001,C01,C01_A2,submit,563,2025-10-10
S001,C01,C01_A8,attempt,688,2025-09-05
S001,C01,C01_A5,view,520,2025-12-19
S001,C01,C01_A8,attempt,466,2025-11-28
S001,C01,C01_A6,view,532,2025-12-02
S001,C01,C01_A9,attempt,105,2025-12-26
S001,C01,C01_A1,view,359,2025-11-18
S001,C01,C01_A5,view,97,2025-09-18
S001,C01,C01_A9,attempt,669,2025-11-22
S001,C01,C01_A10,submit,591,2025-12-02
S001,C01,C01_A7,attempt,420,2025-11-17
S001,C01,C01_A4,submit,331,2025-10-30
S001,C01,C01_A10,submit,649,2025-10-27
S001,C01,C01_A2,view,842,2025-11-30
S001,C01,C01_A8,view,700,2025-11-24
S001,C01,C01_A5,submit,768,2025-12-21
S001,C01,C01_A10,view,470,2025-10-29
S001,C01,C01_A10,view,453,2025-10-15
S001,C01,C01_A5,attempt,438,2025-10-25
S001,C01,C01_A1,submit,127,2025-10-12
S001,C01,C01_A4,attempt,350,2025-11-26
S001,C01,C01_A5,attempt,413,2025-09-21
S001,C01,C01_A5,submit,515,2025-09-10
S001,C01,C01_A9,view,881,2025-09-12
S001,C01,C01_A4,view,472,2025-09-14
S001,C01,C01_A1,submit,786,2025-10-19
S001,C01,C01_A9,view,599,2025-09-09
S001,C01,C01_A10,submit,605,2025-11-12
S001,C01,C01_A8,attempt,716,2025-09-17
S001,C01,C01_A1,attempt,392,2025-12-22
S001,C01,C01_A1,submit,798,2025-10-26
S001,C01,C01_A1,submit,82,2025-10-08
S001,C01,C01_A8,submit,349,2025-10-17
S001,C01,C01_A10,view,621,2025-11-05
S001,C01,C01_A1,view,188,2025-11-25
S001,C01,C01_A7,attempt,259,2025-12-19
S001,C01,C01_A1,view,388,2025-12-19
S001,C01,C01_A10,submit,406,2025-09-16
S001,C01,C01_A5,attempt,617,2025-09-30
S001,C01,C01_A1,attempt,895,2025-11-12
S001,C01,C01_A10,submit,658,2025-11-27
S001,C01,C01_A10,submit,600,2025-09-05
S001,C01,C01_A9,submit,703,2025-12-17
S001,C01,C01_A6,submit,303,2025-09-05
S001,C03,C03_A3,attempt,749,2025-12-08
S001,C03,C03_A1,attempt,377,2025-10-16
S001,C03,C03_A6,view,215,2025-12-22
S001,C03,C03_A7,view,609,2025-11-25
S001,C03,C03_A8,attempt,101,2025-09-20
S001,C03,C03_A1,submit,678,2025-09-05
S001,C03,C03_A5,view,794,2025-11-08
S001,C03,C03_A4,view,415,2025-10-25
S001,C03,C03_A9,attempt,379,2025-09-22
S001,C03,C03_A5,attempt,349,2025-12-03
S001,C03,C03_A2,attempt,825,2025-11-13
S001,C03,C03_A3,submit,116,2025-12-24
S001,C03,C03_A8,view,189,2025-09-22
S001,C03,C03_A9,submit,80,2025-11-27
S001,C03,C03_A2,view,308,2025-10-28
S001,C03,C03_A2,submit,464,2025-11-03
S001,C03,C03_A9,submit,482,2025-10-25
S001,C03,C03_A7,attempt,250,2025-12-07
S001,C03,C03_A6,submit,146,2025-10-16
S001,C03,C03_A10,attempt,143,2025-10-08
S001,C03,C03_A6,submit,724,2025-11-16
S001,C03,C03_A7,attempt,569,2025-11-26
S001,C03,C03_A1,attempt,76,2025-09-30
S001,C03,C03_A3,attempt,643,2025-09-09
S001,C03,C03_A4,view,239,2025-10-10
S001,C03,C03_A3,view,815,2025-09-19
S001,C03,C03_A3,attempt,326,2025-10-13
S001,C03,C03_A3,view,37,2025-11-04
S001,C03,C03_A10,submit,470,2025-09-24
S001,C03,C03_A5,view,419,2025-11-09
S001,C03,C03_A4,submit,265,2025-11-05
S001,C03,C03_A4,submit,883,2025-11-26
S001,C03,C03_A1,attempt,103,2025-10-22
S001,C03,C03_A8,submit,73,2025-10-27
S001,C03,C03_A2,view,500,2025-12-28
S001,C03,C03_A10,view,350,2025-11-14
S001,C03,C03_A1,attempt,617,2025-10-23
S001,C03,C03_A9,submit,685,2025-10-25
S001,C03,C03_A5,attempt,147,2025-10-23
S001,C03,C03_A4,view,362,2025-09-23
S001,C03,C03_A7,submit,501,2025-12-17
S001,C03,C03_A3,submit,400,2025-09-13
S001,C03,C03_A9,attempt,894,2025-09-15
S001,C03,C03_A9,view,476,2025-11-16
S001,C03,C03_A5,attempt,566,2025-09-12
S001,C03,C03_A9,attempt,347,2025-12-06
S001,C03,C03_A9,attempt,256,2025-10-14
S001,C03,C03_A1,view,108,2025-11-06
S001,C03,C03_A1,submit,146,2025-11-08
S001,C03,C03_A3,submit,228,2025-12-26
S001,C03,C03_A2,attempt,389,2025-12-04
S001,C03,C03_A3,submit,864,2025-09-20
S001,C03,C03_A2,view,135,2025-09-20
S001,C03,C03_A1,attempt,232,2025-09-24
S001,C03,C03_A6,submit,186,2025-12-08
S001,C03,C03_A9,submit,107,2025-09-24
S001,C03,C03_A6,submit,535,2025-10-31
S001,C03,C03_A3,submit,808,2025-11-15
S001,C03,C03_A10,attempt,727,2025-12-29
S001,C03,C03_A1,submit,688,2025-11-22
S001,C03,C03_A1,submit,360,2025-12-21
S001,C03,C03_A4,submit,353,2025-09-21
S001,C03,C03_A6,attempt,99,2025-11-01
S001,C03,C03_A1,attempt,676,2025-10-10
S001,C03,C03_A6,attempt,635,2025-09-09
S001,C03,C03_A4,attempt,549,2025-09-11
S001,C03,C03_A10,attempt,502,2025-10-29
S001,C03,C03_A2,view,88,2025-10-19
S001,C03,C03_A2,attempt,108,2025-11-23
S001,C03,C03_A9,view,659,2025-11-17
S001,C03,C03_A1,submit,423,2025-10-31
S001,C03,C03_A9,submit,597,2025-12-12
S001,C03,C03_A4,submit,72,2025-10-29
S001,C03,C03_A3,submit,697,2025-09-26
S001,C03,C03_A1,attempt,649,2025-11-01
S001,C03,C03_A5,submit,184,2025-09-09
S001,C03,C03_A5,attempt,135,2025-12-14
S001,C03,C03_A6,attempt,761,2025-09-12
S001,C03,C03_A1,submit,691,2025-09-24
S001,C03,C03_A8,view,283,2025-12-01
S001,C03,C03_A9,attempt,479,2025-11-08
S001,C03,C03_A2,submit,654,2025-09-22
S001,C03,C03_A1,attempt,411,2025-12-28
S001,C03,C03_A6,attempt,426,2025-10-24
S001,C03,C03_A9,attempt,725,2025-11-17
S001,C03,C03_A6,view,838,2025-11-21
S001,C03,C03_A3,submit,372,2025-09-10
S001,C03,C03_A10,attempt,126,2025-11-12
S001,C03,C03_A9,submit,425,2025-10-08
S001,C03,C03_A7,attempt,771,2025-12-20
S001,C03,C03_A10,submit,647,2025-12-22
S001,C03,C03_A9,view,371,2025-09-12
S001,C03,C03_A3,submit,709,2025-09-20
S001,C03,C03_A9,attempt,347,2025-11-24
S001,C03,C03_A10,submit,708,2025-10-22
S001,C03,C03_A9,view,639,2025-12-01
S001,C03,C03_A2,view,347,2025-11-12
S001,C03,C03_A3,attempt,688,2025-12-12
S001,C03,C03_A4,attempt,862,2025-09-18
S001,C03,C03_A9,submit,749,2025-12-17
S001,C03,C03_A8,submit,731,2025-12-27
S001,C03,C03_A6,submit,125,2025-11-23
S001,C03,C03_A2,submit,463,2025-11-06
S001,C03,C03_A9,attempt,48,2025-10-18
S001,C03,C03_A9,attempt,214,2025-09-29
