student_id,total_time_spent,total_events,avg_time_per_event,active_days,access_frequency,avg_quiz_score,quiz_attempt_count,quiz_score_std,avg_quiz_time,avg_assignment_score,late_submission_ratio,assignment_count,avg_final_grade,failed_courses,risk_cluster,risk_level,generic_recommendation
S001,229976,480,479.1166667,114,4.210526316,6.300887414,202,1.996396763,491.9653465,7.089005614,0.333333333,9,8.188539299,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S002,157493,340,463.2147059,112,3.035714286,6.720570649,140,1.966517516,458.5142857,6.961847191,0.5,8,7.269280275,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S003,155723,340,458.0088235,110,3.090909091,6.558969789,171,1.964413465,460.0292398,6.653238083,0,8,5.859784614,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S004,187347,430,435.6906977,116,3.706896552,6.517085917,193,1.914375479,426.9740933,6.232730511,0.333333333,9,6.952753311,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S005,134247,290,462.9206897,111,2.612612613,6.294759027,131,2.118548766,448.1068702,7.381966769,0.625,8,7.720083539,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S006,151456,340,445.4588235,110,3.090909091,6.786657592,126,2.025612392,435.4761905,6.161089794,0.333333333,12,6.166276352,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S007,160976,340,473.4588235,112,3.035714286,6.270822547,154,1.988936784,462.1688312,6.847083485,0,9,5.811292924,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S008,119804,250,479.216,109,2.293577982,6.709071457,75,2.110053537,461.8533333,7.369271545,0.333333333,9,6.483692582,0,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S009,180370,380,474.6578947,118,3.220338983,6.391409134,121,2.01824549,514.4958678,6.390801281,0.416666667,12,6.161570474,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S010,141133,300,470.4433333,114,2.631578947,6.530175502,114,2.050776371,473.5701754,7.578357945,0.125,8,5.239620604,2,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S011,111155,240,463.1458333,107,2.242990654,6.097267932,103,1.968175784,494.9029126,6.676789497,0.111111111,9,7.327934095,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S012,96977,210,461.7952381,106,1.981132075,6.121994663,95,1.986778178,447.7789474,7.446126722,0.428571429,7,5.303477388,2,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S013,154197,340,453.5205882,106,3.20754717,6.409931285,148,2.053661178,473.3851351,7.4589605,0.1,10,6.264101044,1,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S014,198767,430,462.2488372,115,3.739130435,6.342085627,175,1.969159601,452.9028571,7.263620427,0.090909091,11,6.744398989,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S015,95203,210,453.347619,105,2,6.300935922,88,1.807415994,445.1022727,6.727353472,0.363636364,11,7.007298422,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S016,127943,290,441.1827586,107,2.710280374,6.473226702,101,2.090444742,410.3663366,6.754803395,0.125,8,7.787600213,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S017,114568,250,458.272,109,2.293577982,6.333525062,93,1.94843797,488.7956989,6.443698125,0,9,6.896366469,0,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S018,92915,200,464.575,95,2.105263158,6.516078635,55,2.070717319,498.3636364,6.738415816,0.272727273,11,7.851102644,0,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S019,162716,340,478.5764706,110,3.090909091,6.915356364,104,1.993695383,480.1538462,7.123351863,0.166666667,12,6.59261236,0,0,Low Risk,Maintain current study habits. Explore advanced materials and optional challenges.
S020,92518,200,462.59,100,2,6.134321315,56,2.020147981,457.4821429,8.244909368,0.5,12,6.785336473,0,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
S021,97678,200,488.39,100,2,6.632920462,96,2.141894649,498.90625,7.063634842,0.142857143,7,5.501021346,1,2,Medium Risk,Increase consistency. Focus on weak topics and follow a structured study plan.
