attempt_id,student_id,activity_id,score,max_score,time_spent_sec,attempt_number,submitted_at
272f91f9-3e71-4cb7-94c9-93b4e4d640d4,S001,C02_A1,9.42683744623864,10,876,1,2025-09-20
5a926b0d-df81-45b8-89f8-47f84444df60,S001,C02_A1,3.263769880632395,10,746,2,2025-10-23
e64e1c3a-63f5-4600-acca-0f8b12eda1a8,S001,C02_A5,3.3166820468713407,10,542,2,2025-11-10
67805ca7-c534-4e42-8341-3cf202650564,S001,C02_A5,5.334790038051013,10,70,1,2025-12-24
4e7f268a-b2ba-4cb6-a03a-757f3bbf5601,S001,C02_A7,8.465272240021799,10,71,2,2025-12-08
f1f504aa-4eb7-429a-9ed6-479c73eadc3f,S001,C02_A5,5.134466706123813,10,511,1,2025-11-07
8d5ce193-4347-479a-82ee-97127a20337c,S001,C02_A1,4.838831923628696,10,680,1,2025-12-15
234abbef-e4b6-41d8-8722-4a9336ed9814,S001,C02_A7,6.466281109718266,10,367,2,2025-10-24
6c38cbac-799b-49d6-b06d-68bc9c55b66a,S001,C02_A7,3.216428732001937,10,352,1,2025-10-04
f584e4ab-e9e5-41bf-ab76-c80c45f498db,S001,C02_A5,7.810079946727142,10,148,2,2025-12-09
43533f87-6c8e-4ba0-b078-902d94af7a69,S001,C02_A7,7.2000770084453425,10,703,1,2025-12-22
c5048435-2754-4871-8f16-f9b1b6deebd7,S001,C02_A5,3.503148086588989,10,667,2,2025-12-07
60f5523b-eeb3-42fc-aae8-40c9b950be86,S001,C02_A5,6.379663514487614,10,670,1,2025-10-28
8cd93b0a-ea5d-4f16-a7cf-6f106453bc95,S001,C02_A1,7.169988096343479,10,891,2,2025-12-27
76860902-3932-4798-a31c-208a34e54e02,S001,C02_A5,5.238170219298244,10,884,1,2025-11-02
5d331dcc-c096-448b-96a7-463115b7679a,S001,C02_A1,5.810401922964643,10,643,2,2025-11-06
7e662569-55c0-4304-9582-b1de38f91685,S001,C02_A1,8.524394259156777,10,487,2,2025-11-09
201bbf63-14b3-4185-902a-78d47c3e82c4,S001,C02_A7,6.719797114165025,10,223,2,2025-11-30
bacfaf6e-2eff-4fbb-8176-8be61332157c,S001,C02_A5,8.091359084686124,10,355,1,2025-12-06
d4c77d59-01f3-4735-9491-eb99619ea74c,S001,C02_A5,7.287260459625184,10,159,2,2025-11-05
