student_id,all_clicks,active_days,access_frequency,material_clicks,avg_quiz_score,quiz_attempts,avg_assignment_score,assignment_submissions,final_grade,total_time_spent,procrastination_index,late_submission_count,max_burnout_score,avg_burnout_score,spike_count,crash_count,decline_weeks,avg_instability,max_instability,burnout_weeks,total_weeks,burnout_week_ratio,burnout_risk,burnout_probability,burnout_predicted,risk_level
6516,2791,159,17.553459119496857,174.0,0.0,0.0,61.8,5.0,65,5582,2.6,0.0,0.6779644895221917,0.2659118497718578,8.0,4.0,15.0,0.0577429032930767,0.1619047619047618,15.0,35.0,0.4285714285714285,1,0.98,1,High Risk
8462,646,56,11.535714285714286,93.0,0.0,0.0,87.0,7.0,30,1292,34.142857142857146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
11391,934,40,23.35,18.0,0.0,0.0,82.0,5.0,65,1868,1.8,0.0,0.6861613362672996,0.2532082847024647,5.0,3.0,12.0,0.0342438604996176,0.1411255411255411,5.0,26.0,0.1923076923076923,0,0.5,1,Low Risk
23629,161,16,10.0625,2.0,100.0,2.0,65.0,2.0,40,322,-3.5,3.0,0.3009860066286486,0.0787528303657835,0.0,0.0,1.0,0.0096321538182696,0.0155844155844155,0.0,4.0,0.0,0,0.0,0,Safe
23698,910,70,13.0,48.0,75.0,4.0,72.5,4.0,65,1820,-1.125,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
23798,590,77,7.662337662337662,77.0,100.0,5.0,88.83333333333333,6.0,85,1180,-0.2727272727272727,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
24213,554,28,19.785714285714285,17.0,0.0,0.0,79.33333333333333,6.0,30,1108,-1.8571428571428568,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
24213,554,28,19.785714285714285,17.0,0.0,0.0,79.33333333333333,6.0,65,1108,-1.8571428571428568,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
24734,499,56,8.910714285714286,14.0,0.0,0.0,46.8,5.0,65,998,-7.4,4.0,0.3916885079539329,0.2125488439033421,6.0,2.0,13.0,0.015245478534246,0.0469931315848031,2.0,31.0,0.064516129032258,0,0.0,0,Safe
25107,2562,115,22.278260869565216,37.0,100.0,5.0,58.5,6.0,65,5124,-1.818181818181818,6.0,0.3146583581965064,0.090383387086891,0.0,0.0,1.0,0.0321524290402221,0.0484848484848484,0.0,4.0,0.0,0,0.0,0,Safe
25261,997,39,25.56410256410257,39.0,78.0,1.0,0.0,0.0,30,1994,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
25629,16,3,5.333333333333333,0.0,0.0,0.0,0.0,0.0,30,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
25997,13,1,13.0,0.0,100.0,1.0,73.0,1.0,30,26,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
26192,2223,118,18.838983050847457,170.0,0.0,0.0,86.2,5.0,85,4446,1.2,0.0,0.680953063320536,0.2981618746514148,8.0,7.0,14.0,0.0448640294565073,0.0835150096981776,17.0,33.0,0.5151515151515151,1,0.94,1,High Risk
26315,2451,91,26.93406593406593,102.0,0.0,0.0,51.4,5.0,65,4902,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
26734,210,29,7.241379310344827,32.0,0.0,0.0,74.33333333333333,3.0,40,420,-15.333333333333334,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
27116,1847,126,14.658730158730158,112.0,95.75,4.0,90.25,4.0,85,3694,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
27417,410,30,13.666666666666666,52.0,0.0,0.0,50.625,8.0,30,820,-3.75,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
27759,366,46,7.956521739130435,34.0,96.0,5.0,59.5,6.0,40,732,-0.9090909090909092,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
27891,348,23,15.130434782608695,14.0,73.33333333333333,6.0,65.0,6.0,30,696,30.5,4.0,0.3293903953609916,0.1039642646582456,0.0,0.0,1.0,0.0584491152605377,0.0917748917748917,1.0,4.0,0.25,0,0.01,0,Safe
27891,348,23,15.130434782608695,14.0,73.33333333333333,6.0,65.0,6.0,40,696,30.5,4.0,0.3293903953609916,0.1039642646582456,0.0,0.0,1.0,0.0584491152605377,0.0917748917748917,1.0,4.0,0.25,0,0.01,0,Safe
27935,813,54,15.055555555555555,74.0,0.0,0.0,75.25,4.0,40,1626,-0.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
28046,661,51,12.96078431372549,47.0,0.0,0.0,51.0,6.0,40,1322,2.7142857142857144,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
28061,1590,148,10.743243243243244,139.0,0.0,0.0,77.6,5.0,65,3180,-1.0,1.0,0.6771886131090239,0.3035341395919967,9.0,6.0,21.0,0.02382411713805,0.0539721121229738,9.0,38.0,0.2368421052631578,0,0.03,0,Safe
28400,1435,80,17.9375,60.0,0.0,0.0,66.4,5.0,65,2870,0.0,2.0,0.6887953751993035,0.274767576363604,6.0,4.0,17.0,0.0320331253401905,0.0943722943722943,8.0,32.0,0.25,0,0.12,0,Safe
28418,328,22,14.909090909090908,45.0,31.5,2.0,0.0,0.0,40,656,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
28787,645,59,10.932203389830509,32.0,56.0,4.0,0.0,0.0,65,1290,-3.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
28952,105,12,8.75,5.0,67.0,1.0,52.0,1.0,30,210,-1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
29144,1914,123,15.560975609756095,397.0,85.0,4.0,63.8,5.0,40,3828,-3.888888888888889,6.0,0.0232513497699791,0.0116256748849895,0.0,0.0,0.0,0.0225108225108225,0.045021645021645,0.0,2.0,0.0,0,0.0,0,Safe
29411,1170,91,12.857142857142858,124.0,0.0,1.0,67.28571428571429,7.0,30,2340,-0.2222222222222222,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0,Safe
